year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,hour_of_day
2024,1,16,2,2024-01-16,AA,2100.0,DFW,"Dallas/Fort Worth, TX",Texas,MCI,"Kansas City, MO",Missouri,1538,,,,,,,1710,,,1,B,0,92.0,,,460.0,0,0,0,0,0,15
2024,7,20,6,2024-07-20,9E,4806.0,CHO,"Charlottesville, VA",Virginia,ATL,"Atlanta, GA",Georgia,1820,,,,,,,2005,,,1,A,0,105.0,,,457.0,0,0,0,0,0,18
2024,1,12,5,2024-01-12,AS,292.0,SFO,"San Francisco, CA",California,EWR,"Newark, NJ",New Jersey,805,,,,,,,1640,,,1,A,0,335.0,,,2565.0,0,0,0,0,0,8
2024,2,1,4,2024-02-01,WN,1981.0,DAL,"Dallas, TX",Texas,LAS,"Las Vegas, NV",Nevada,1750,,,,,,,1850,,,1,C,0,180.0,,,1067.0,0,0,0,0,0,17
2024,5,28,2,2024-05-28,AA,2745.0,DFW,"Dallas/Fort Worth, TX",Texas,DCA,"Washington, DC",Virginia,1505,,,,,,,1859,,,1,B,0,174.0,,,1192.0,0,0,0,0,0,15
2024,1,12,5,2024-01-12,WN,1507.0,MDW,"Chicago, IL",Illinois,MCO,"Orlando, FL",Florida,935,,,,,,,1310,,,1,B,0,155.0,,,990.0,0,0,0,0,0,9
2024,4,10,3,2024-04-10,WN,3212.0,MSY,"New Orleans, LA",Louisiana,DAL,"Dallas, TX",Texas,1505,,,,,,,1635,,,1,B,0,90.0,,,436.0,0,0,0,0,0,15
2024,4,20,6,2024-04-20,MQ,3465.0,DFW,"Dallas/Fort Worth, TX",Texas,HOU,"Houston, TX",Texas,1841,,,,,,,1954,,,1,C,0,73.0,,,247.0,0,0,0,0,0,18
2024,7,8,1,2024-07-08,WN,3102.0,HOU,"Houston, TX",Texas,AUS,"Austin, TX",Texas,2240,,,,,,,2330,,,1,B,0,50.0,,,148.0,0,0,0,0,0,22
2024,7,17,3,2024-07-17,9E,5164.0,RDU,"Raleigh/Durham, NC",North Carolina,LGA,"New York, NY",New York,600,,,,,,,739,,,1,C,0,99.0,,,431.0,0,0,0,0,0,6
